GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mercado,br.ufpb.dsc.mercado.controller,UploadController,9,48,1,5,2,11,1,5,0,3
mercado,br.ufpb.dsc.mercado.controller,ComentarioController,41,6,0,0,10,3,3,1,3,1
mercado,br.ufpb.dsc.mercado.controller,FilmeController,43,6,0,0,12,3,4,1,4,1
mercado,br.ufpb.dsc.mercado.controller,WatchlistController,82,6,0,0,21,3,5,1,5,1
mercado,br.ufpb.dsc.mercado.controller,PingController,0,13,0,0,0,3,0,2,0,2
mercado,br.ufpb.dsc.mercado.controller,WatchlistController.WatchlistStatsDto,9,0,0,0,1,0,1,0,1,0
mercado,br.ufpb.dsc.mercado.controller,AuthController,30,6,0,0,8,3,2,1,2,1
mercado,br.ufpb.dsc.mercado.controller,DiarioController,0,88,0,2,0,24,0,7,0,6
mercado,br.ufpb.dsc.mercado.controller,AvaliacaoController,16,6,0,0,4,3,1,1,1,1
mercado,br.ufpb.dsc.mercado.service,ComentarioService,0,149,0,2,0,32,0,9,0,8
mercado,br.ufpb.dsc.mercado.service,UsuarioService,7,145,0,2,0,32,1,6,1,5
mercado,br.ufpb.dsc.mercado.service,S3StorageService,0,72,0,4,0,21,0,4,0,2
mercado,br.ufpb.dsc.mercado.service,AvaliacaoService,0,88,0,0,0,16,0,5,0,5
mercado,br.ufpb.dsc.mercado.service,DiarioFilmeService,0,334,0,6,0,62,0,18,0,15
mercado,br.ufpb.dsc.mercado.service,LogAuditoriaService,0,128,7,23,0,30,7,13,0,5
mercado,br.ufpb.dsc.mercado.service,WatchlistService,0,303,0,6,0,53,0,21,0,18
mercado,br.ufpb.dsc.mercado.service,FilmeService,0,169,0,6,0,42,0,11,0,8
